batch_size,degree,gamma,k_fold,n_iters,seed,mse_te,mse_tr
1,0,1.2915496650148826e-14,4,500,0,0.49999999999834227,0.49999999999834166
1,0,1e-15,4,500,0,0.4999999999998717,0.4999999999998716
1,0,3.593813663804626e-15,4,500,0,0.49999999999953876,0.4999999999995386
1,0,4.6415888336127726e-14,4,500,0,0.49999999999404243,0.49999999999404043
1,0,1.6681005372000557e-13,4,500,0,0.4999999999785899,0.4999999999785826
1,1,1.2915496650148826e-14,4,500,0,0.4999999999959211,0.49999999999592404
1,1,3.593813663804626e-15,4,500,0,0.499999999998865,0.4999999999988658
1,1,1e-15,4,500,0,0.49999999999968425,0.49999999999968436
1,1,4.6415888336127726e-14,4,500,0,0.49999999998534106,0.4999999999853517
1,0,5.994842503189421e-13,4,500,0,0.49999999992305616,0.49999999992302985
1,1,1.6681005372000557e-13,4,500,0,0.49999999994731875,0.49999999994735705
1,3,1e-15,4,500,0,0.49999999998999356,0.49999999998999833
1,3,1.2915496650148826e-14,4,500,0,0.4999999998707618,0.4999999998708233
1,3,3.593813663804626e-15,4,500,0,0.49999999996403865,0.49999999996405586
1,1,5.994842503189421e-13,4,500,0,0.4999999998106734,0.499999999810811
1,3,4.6415888336127726e-14,4,500,0,0.4999999995355422,0.49999999953576274
1,3,1.6681005372000557e-13,4,500,0,0.49999999833082526,0.499999998331618
1,2,1.2915496650148826e-14,4,500,0,0.49999999996080813,0.499999999960806
1,2,1e-15,4,500,0,0.49999999999696554,0.49999999999696537
1,2,4.6415888336127726e-14,4,500,0,0.4999999998591517,0.49999999985914406
1,2,3.593813663804626e-15,4,500,0,0.4999999999890946,0.49999999998909406
1,3,5.994842503189421e-13,4,500,0,0.4999999940012978,0.49999999400414663
1,0,2.1544346900318868e-12,4,500,0,0.4999999997234783,0.4999999997233837
1,0,7.742636826811278e-12,4,500,0,0.4999999990062328,0.49999999900589276
1,2,1.6681005372000557e-13,4,500,0,0.49999999949381746,0.4999999994937899
1,6,1.2915496650148826e-14,4,500,0,0.49999871429108006,0.49999873889432767
1,0,2.7825594022071258e-11,4,500,0,0.499999996428586,0.49999999642736376
1,2,5.994842503189421e-13,4,500,0,0.49999999818087426,0.49999999818077523
1,1,2.1544346900318868e-12,4,500,0,0.49999999931959554,0.4999999993200899
1,1,7.742636826811278e-12,4,500,0,0.499999997554753,0.4999999975565303
1,0,1e-10,4,500,0,0.49999998716500416,0.49999998716061156
1,4,1e-15,4,500,0,0.49999999982534193,0.49999999982588916
1,4,3.593813663804626e-15,4,500,0,0.4999999993723113,0.4999999993742782
1,4,1.2915496650148826e-14,4,500,0,0.4999999977442041,0.49999999775127274
1,1,2.7825594022071258e-11,4,500,0,0.4999999912122383,0.49999999121862515
1,3,2.1544346900318868e-12,4,500,0,0.4999999784417931,0.49999997845203137
1,4,4.6415888336127726e-14,4,500,0,0.49999999189309274,0.49999999191849614
1,4,1.6681005372000557e-13,4,500,0,0.49999997086532255,0.49999997095661775
1,3,7.742636826811278e-12,4,500,0,0.49999992252396397,0.4999999225607581
1,1,1e-10,4,500,0,0.49999996841842415,0.4999999684413775
1,4,5.994842503189421e-13,4,500,0,0.4999998952958727,0.4999998956239695
1,3,2.7825594022071258e-11,4,500,0,0.49999972156740313,0.49999972169963136
1,2,2.1544346900318868e-12,4,500,0,0.4999999934624013,0.4999999934620454
1,2,7.742636826811278e-12,4,500,0,0.4999999765050913,0.4999999765038122
1,3,1e-10,4,500,0,0.4999989993888934,0.4999989998640604
1,2,2.7825594022071258e-11,4,500,0,0.4999999155637116,0.49999991555911516
1,2,1e-10,4,500,0,0.4999996965521738,0.49999969653565496
1,5,1e-15,4,500,0,0.4999999963519813,0.49999999638667
1,4,2.1544346900318868e-12,4,500,0,0.4999996237190083,0.499999624898105
1,5,3.593813663804626e-15,4,500,0,0.49999998688971264,0.4999999870143772
1,5,1.2915496650148826e-14,4,500,0,0.4999999528842266,0.4999999533322469
1,4,7.742636826811278e-12,4,500,0,0.49999864779542164,0.4999986520325948
1,5,4.6415888336127726e-14,4,500,0,0.49999983067671133,0.4999998322867975
1,5,1.6681005372000557e-13,4,500,0,0.4999993915097601,0.49999939729591336
1,4,2.7825594022071258e-11,4,500,0,0.49999514145144575,0.4999951566754339
1,5,5.994842503189421e-13,4,500,0,0.49999781353665174,0.49999783432847245
1,4,1e-10,4,500,0,0.4999825524883931,0.4999826071537866
1,5,2.1544346900318868e-12,4,500,0,0.4999921466125514,0.49999222130172705
1,5,7.742636826811278e-12,4,500,0,0.4999718326015595,0.4999721005976785
1,5,2.7825594022071258e-11,4,500,0,0.49989949639685033,0.4999004540713607
1,5,1e-10,4,500,0,0.4996481124415008,0.4996514840860019
1,6,1e-15,4,500,0,0.49999990043675613,0.49999990234190494
1,6,1.6681005372000557e-13,4,500,0,0.49998342774914417,0.4999837450629982
1,6,4.6415888336127726e-14,4,500,0,0.4999953814204915,0.49999546981275456
1,6,5.994842503189421e-13,4,500,0,0.49994077856566543,0.49994191439984825
1,6,7.742636826811278e-12,4,500,0,0.499305433072118,0.4993191576552751
1,6,2.1544346900318868e-12,4,500,0,0.4997914888025308,0.4997955125560034
1,6,1e-10,4,500,0,0.5004985061871816,0.5005772002304933
1,6,2.7825594022071258e-11,4,500,0,0.49816723583794337,0.4982079429179726
1,7,1e-15,4,500,0,0.4999970481489153,0.4999971491667217
1,7,1.6681005372000557e-13,4,500,0,0.4995506995613424,0.4995665940530541
1,7,4.6415888336127726e-14,4,500,0,0.49986631761519795,0.499870932341706
