batch_size,degree,gamma,k_fold,n_iters,seed,mse_te,mse_tr
50,1,3.1622776601683795e-18,4,100,0,43321.69878496782,129965.09635489882
50,1,3.162277660168379e-13,4,100,0,43321.695907163914,129965.08770918765
50,1,1e-20,4,100,0,43321.69878499845,129965.09635501265
50,1,1e-15,4,100,0,43321.69877589605,129965.09632764924
50,2,1e-20,4,100,0,43321.698781707215,129965.09634508805
50,2,3.1622776601683795e-18,4,100,0,43321.69774480774,129965.09322378476
50,2,3.162277660168379e-13,4,100,0,43230.87314273225,129691.69721877459
50,2,1e-15,4,100,0,43321.369993454085,129964.106617763
50,3,1e-20,4,100,0,43321.27978113535,129963.83008566723
50,3,3.162277660168379e-13,4,100,0,283926.0787049908,850630.5021430952
50,3,3.1622776601683795e-18,4,100,0,43243.23784842704,129728.75120013992
50,3,1e-15,4,100,0,45121.737401242935,135287.81943191952
