batch_size,degree,gamma,k_fold,n_iters,seed,mse_te,mse_tr
50,1,1e-20,4,100,0,43321.69878499845,129965.09635501265
50,1,3.1622776601683795e-18,4,100,0,43321.69878496782,129965.09635489882
50,1,1e-15,4,100,0,43321.69877589605,129965.09632764924
50,1,3.162277660168379e-13,4,100,0,43321.695907163914,129965.08770918765
50,2,1e-15,4,100,0,43321.369993454085,129964.106617763
50,2,1e-20,4,100,0,43321.698781707215,129965.09634508805
50,2,3.1622776601683795e-18,4,100,0,43321.69774480774,129965.09322378476
50,2,3.162277660168379e-13,4,100,0,43230.87314273225,129691.69721877459
50,3,3.1622776601683795e-18,4,100,0,43243.23784842704,129728.75120013992
50,3,3.162277660168379e-13,4,100,0,283926.0787049908,850630.5021430952
50,3,1e-15,4,100,0,45121.737401242935,135287.81943191952
50,3,1e-20,4,100,0,43321.27978113535,129963.83008566723
50,1,3.162277660168379e-13,4,500,0,43321.68465038869,129965.05393518829
50,1,1e-20,4,500,0,43321.69878499816,129965.09635501224
50,1,1e-15,4,500,0,43321.698740298816,129965.09622084591
50,1,3.1622776601683795e-18,4,500,0,43321.69878485524,129965.0963545655
50,2,1e-20,4,500,0,43321.698769560935,129965.09630866114
50,2,3.1622776601683795e-18,4,500,0,43321.6939038534,129965.08170470854
50,2,3.162277660168379e-13,4,500,0,43041.71726157568,129124.36714114663
50,2,1e-15,4,500,0,43320.15845579661,129960.47320058104
50,3,1e-15,4,500,0,41846.99546599393,125510.69303402101
50,3,3.1622776601683795e-18,4,500,0,43194.99988946825,129582.48034603565
50,3,1e-20,4,500,0,43319.88051995877,129959.63547659476
50,3,3.162277660168379e-13,4,500,0,180467.8191212869,540331.3371028649
