batch_size,degree,gamma,k_fold,n_iters,seed,mse_te,mse_tr
50,1,3.162277660168379e-13,4,100,0,0.693147134514621,0.6931471344489986
50,1,3.1622776601683795e-18,4,100,0,0.6931471805593963,0.6931471805588452
50,1,1e-15,4,100,0,0.6931471804143422,0.6931471804141309
50,1,1e-20,4,100,0,0.6931471805589771,0.6931471805585248
50,2,1e-20,4,100,0,0.693147180507313,0.6931471805071402
50,2,3.1622776601683795e-18,4,100,0,0.6931471639169204,0.6931471638601843
50,2,1e-15,4,100,0,0.6931419198952645,0.6931419019614034
50,2,3.162277660168379e-13,4,100,0,0.6916939702837168,0.6916890518334649
50,3,3.1622776601683795e-18,4,100,0,0.6918918055748364,0.6918866730674125
50,3,1e-20,4,100,0,0.693140476498161,0.6931404271235599
50,3,3.162277660168379e-13,4,100,0,inf,inf
50,3,1e-15,4,100,0,0.7243402512489466,0.724027979534515
