batch_size,degree,gamma,k_fold,n_iters,seed,mse_te,mse_tr
50,1,1e-15,4,100,0,43321.69878499801,129965.09635501174
50,1,3.162277660168379e-13,4,100,0,43321.69878476138,129965.09635428392
50,1,1e-20,4,100,0,43321.69878499778,129965.09635501198
50,1,3.1622776601683795e-18,4,100,0,43321.69878499778,129965.09635501198
50,2,1e-15,4,100,0,43321.69878499064,129965.09635499743
50,2,1e-20,4,100,0,43321.69878499778,129965.09635501198
50,2,3.1622776601683795e-18,4,100,0,43321.698784997796,129965.09635501198
50,2,3.162277660168379e-13,4,100,0,43321.69878355367,129965.09635065855
50,3,1e-20,4,100,0,43321.69878499778,129965.09635501198
50,3,1e-15,4,100,0,43321.69878497851,129965.09635495499
50,3,3.1622776601683795e-18,4,100,0,43321.69878499783,129965.09635501204
50,3,3.162277660168379e-13,4,100,0,43321.69877950765,129965.09633849189
