degree,lambda,mse
4,1e-08,0.3149372641815946
4,1e-08,0.3149372641815946
4,1e-07,0.31493726418680146
4,1e-06,0.31493726470541583
4,1e-05,0.3149373145626528
4,0.0001,0.31494083372499876
4,0.001,0.31500958018145425
4,0.01,0.31562949594246953
5,1e-08,0.3035529004506348
5,1e-07,0.30355290046075967
5,1e-06,0.3035529014696016
5,1e-05,0.30355299883526726
5,0.0001,0.30356010821374746
5,0.001,0.3037038958492063
5,0.01,0.304673665474526
6,1e-08,0.2974588698414233
6,1e-07,0.29745886985438696
6,1e-06,0.29745887114484443
6,1e-05,0.29745899454692115
6,0.0001,0.2974674551597167
6,0.001,0.29761745006509754
6,0.01,0.2991237317397242
7,1e-08,0.2972586398942909
7,1e-07,0.29725863995607865
7,1e-06,0.2972586459244377
7,1e-05,0.29725908922178346
7,0.0001,0.2972711743017279
7,0.001,0.29739414689350124
7,0.01,0.2990476250804317
8,1e-08,0.29521549413429676
8,1e-07,0.29521549427286337
8,1e-06,0.29521550743806124
8,1e-05,0.29521634822702153
8,0.0001,0.29522823273134197
8,0.001,0.2953741024619124
8,0.01,0.2981527461349722
9,1e-08,0.2946862982732615
9,1e-07,0.2946863401834951
9,1e-06,0.2946884229492796
9,1e-05,0.29470163047258274
9,0.0001,0.29472198665861987
9,0.001,0.2949705145433229
9,0.01,0.2983508694316905
10,1e-08,0.2943855315176385
10,1e-07,0.29438558246837826
10,1e-06,0.29438797834351094
10,1e-05,0.29440247600760977
10,0.0001,0.29443444826221776
10,0.001,0.2947211071153952
10,0.01,0.29818715826501174
11,1e-08,0.2939821118419234
11,1e-07,0.2939826305940485
11,1e-06,0.2939843865306094
11,1e-05,0.2939935159573104
11,0.0001,0.29405029322250725
11,0.001,0.29455290605084433
11,0.01,0.2979554139488664
12,1e-08,0.2939168149461619
12,1e-07,0.29391832296199455
12,1e-06,0.29392052911513916
12,1e-05,0.2939305695535847
12,0.0001,0.2940022656700489
12,0.001,0.29448098156337915
12,0.01,0.29717005524537815
13,1e-08,0.29360803763299015
13,1e-07,0.2935728599496637
13,1e-06,0.29357666918546194
1,1e-08,0.34830455771780794
