degree,k_fold,lambda,seed,avg_mse_te,avg_mse_tr
4,4,1e-06,0,0.3151674284516906,0.31490438885230587
4,4,1e-06,0,0.3151674284516906,0.31490438885230587
4,4,1e-05,0,0.3151672437527797,0.31490443942613905
4,4,0.0001,0,0.3151688741380476,0.31490800595065344
4,4,0.001,0,0.31523073750122876,0.31497733973345166
4,4,0.01,0,0.31583492052824874,0.31559854842679835
5,4,1e-06,0,0.3038514369309538,0.3035102981523179
5,4,1e-05,0,0.3038510986954511,0.3035103971476518
5,4,0.0001,0,0.3038548510035468,0.30351760502549285
5,4,0.001,0,0.3039874518954263,0.303662369505934
5,4,0.01,0,0.30493147448802893,0.30463428830702605
6,4,1e-06,0,0.29780073855567674,0.2974101161010226
6,4,1e-05,0,0.2977999801651414,0.29741024385250286
6,4,0.0001,0,0.2978021078351723,0.2974189364823429
6,4,0.001,0,0.29793409839887264,0.2975706673359998
6,4,0.01,0,0.2994037877270809,0.29908043746275087
7,4,1e-06,0,0.2976435275366885,0.2972037588599322
7,4,1e-05,0,0.29764301513410163,0.2972042085203415
7,4,0.0001,0,0.29764844497937953,0.2972165307337603
7,4,0.001,0,0.29774806622515393,0.2973412736415019
7,4,0.01,0,0.29935640365280847,0.2990001358815581
8,4,1e-06,0,0.29563128503382075,0.29515616317895804
8,4,1e-05,0,0.2956289088466141,0.295157156051296
8,4,0.0001,0,0.2956304775584204,0.2951697850602314
8,4,0.001,0,0.29574937874955515,0.2953180712570326
8,4,0.01,0,0.2984854908023896,0.29810206800906536
9,4,1e-06,0,0.2951485319411432,0.2946226122515752
9,4,1e-05,0,0.2951550334243145,0.29463632880478285
9,4,0.0001,0,0.29515918722273765,0.29465798500960105
9,4,0.001,0,0.2953720764774067,0.2949101778762915
9,4,0.01,0,0.2987025386255,0.2982970388279206
10,4,1e-06,0,0.29488314701386975,0.29431717322859535
10,4,1e-05,0,0.2948901176716745,0.294332082483837
10,4,0.0001,0,0.2948960882047501,0.2943660905836455
10,4,0.001,0,0.29513976319629603,0.2946582220183991
10,4,0.01,0,0.29855771098921835,0.29813078958302375
11,4,1e-06,0,0.29452672330129726,0.2939066457638821
11,4,1e-05,0,0.2945246859916652,0.2939165845225812
11,4,0.0001,0,0.29455085346160037,0.2939760914599871
11,4,0.001,0,0.29500134000275713,0.2944848364625869
11,4,0.01,0,0.2983499034584973,0.2978956772776446
12,4,1e-06,0,0.29451071944660256,0.2938358407838232
12,4,1e-05,0,0.2945032478205898,0.29384729067533133
12,4,0.0001,0,0.2945396696860758,0.2939225649314477
12,4,0.001,0,0.2949613580902343,0.29440809422888803
12,4,0.01,0,0.2975900041104001,0.29710592179758666
13,4,1e-06,0,0.29420007645786034,0.2934786467066252
13,4,1e-05,0,0.29418064522027476,0.29349212461709645
13,4,0.0001,0,0.2942173856078244,0.2935738234472413
13,4,0.001,0,0.29481690359212376,0.2942420873895039
13,4,0.01,0,0.29756221527981197,0.29705081463072786
14,4,1e-06,0,0.29520488202109646,0.29452415404269394
14,4,1e-05,0,0.3004267514599937,0.2998398808342766
14,4,0.0001,0,0.29471431270984705,0.2939474415025691
14,4,0.001,0,0.29478188092065516,0.29416105710766616
14,4,0.01,0,0.2971468594183294,0.29661098907746963
15,4,1e-06,0,0.2944717834079066,0.29371254679637676
15,4,1e-05,0,0.2943433228468807,0.2935957612840196
15,4,0.0001,0,0.29794778988222476,0.2973026126168835
15,4,0.001,0,0.294686519624518,0.2940562301901922
15,4,0.01,0,0.2972966587580218,0.29671616832431225
4,4,1e-08,0,0.3151674543829639,0.3149043883208999
4,4,1e-08,0,0.3151674543829639,0.3149043883208999
4,4,1e-07,0,0.3151674519776525,0.3149043883261823
5,4,1e-08,0,0.3038514853385145,0.303510297115898
5,4,1e-07,0,0.30385148084250074,0.3035102971261966
6,4,1e-08,0,0.2978008383132208,0.29741011475018886
6,4,1e-07,0,0.2978008291039891,0.2974101147636256
7,4,1e-08,0,0.2976436329491498,0.2972037527510745
7,4,1e-07,0,0.2976436228211707,0.2972037528136599
8,4,1e-08,0,0.295631856354359,0.29515614487556746
8,4,1e-07,0,0.2956317994089424,0.29515614507323906
9,4,1e-08,0,0.29514834844542814,0.2946204398861226
9,4,1e-07,0,0.295148168797712,0.29462048266966756
10,4,1e-08,0,0.29488307183742474,0.2943146248844475
10,4,1e-07,0,0.29488277158710646,0.29431468051221754
11,4,1e-08,0,0.29453066598711514,0.29390391893553447
11,4,1e-07,0,0.2945297245988057,0.2939044956304182
12,4,1e-08,0,0.29451536245369947,0.293831560347374
12,4,1e-07,0,0.2945143167476399,0.2938331969051088
13,4,1e-08,0,0.2959152409530825,0.29520730144514506
13,4,1e-07,0,0.2949849507366858,0.29417805087157994
14,4,1e-08,0,0.32436383272489566,0.3228894778235616
14,4,1e-07,0,0.29651660920082945,0.29609051060973646
15,4,1e-08,0,0.29786510913622505,0.2970126690880717
15,4,1e-07,0,0.29478008703789965,0.2939522877691587
