degree,k_fold,lambda,seed,avg_mse_te,avg_mse_tr
4,4,1e-08,0,0.3151674543767273,0.31490438832090323
4,4,1e-08,0,0.3151674543767273,0.31490438832090323
4,4,1e-07,0,0.31516745191558826,0.31490438832651263
4,4,1e-06,0,0.315167427861193,0.3149043888852441
4,4,1e-05,0,0.3151672407684597,0.314904442626293
4,4,0.0001,0,0.3151690654953363,0.3149082550295301
4,4,0.001,0,0.3152379044048398,0.3149849103403172
4,4,0.01,0,0.31591039445251173,0.3156759326163184
5,4,1e-08,0,0.3038514853355606,0.30351029711590316
5,4,1e-07,0,0.3038514808134451,0.30351029712672006
5,4,1e-06,0,0.3038514366868621,0.30351029820446757
5,4,1e-05,0,0.3038511007098219,0.30351040216647407
5,4,0.0001,0,0.30385517576111093,0.30351796184957497
5,4,0.001,0,0.3039937265193672,0.30366889346961895
5,4,0.01,0,0.30502243123597345,0.3047263082123228
6,4,1e-08,0,0.2978008382851253,0.29741011475020135
6,4,1e-07,0,0.29780082882439896,0.29741011476486867
6,4,1e-06,0,0.2978007358874628,0.2974101162246308
6,4,1e-05,0,0.2977999654769631,0.29741025554830464
6,4,0.0001,0,0.2978026561261373,0.2974196500800512
6,4,0.001,0,0.2979404384282829,0.29757741664315224
6,4,0.01,0,0.29948937054773295,0.2991675119534397
7,4,1e-08,0,0.2976436329323758,0.2972037527511894
7,4,1e-07,0,0.2976436226648245,0.29720375282511113
7,4,1e-06,0,0.2976435270015947,0.2972037599791958
7,4,1e-05,0,0.29764309035383824,0.297204298587482
7,4,0.0001,0,0.2976504488462247,0.2972186187049115
7,4,0.001,0,0.29775328046499544,0.29734695337289024
7,4,0.01,0,0.2994381806366253,0.2990838168910467
8,4,1e-08,0,0.2956318561598249,0.29515614487622205
8,4,1e-07,0,0.2956317976103917,0.29515614513829025
8,4,1e-06,0,0.2956312736305999,0.29515616918741605
8,4,1e-05,0,0.2956291151590544,0.2951574629103416
8,4,0.0001,0,0.2956321494339033,0.29517156992765525
8,4,0.001,0,0.2957525374961865,0.2953216241450826
8,4,0.01,0,0.2985663087201461,0.29818439643960276
9,4,1e-08,0,0.2951483478326534,0.2946204398895806
9,4,1e-07,0,0.29514816170992075,0.29462048304409505
9,4,1e-06,0,0.29514850010188853,0.2946226418205969
9,4,1e-05,0,0.29515544454031395,0.2946368943064396
9,4,0.0001,0,0.2951602808184022,0.2946591764288152
9,4,0.001,0,0.29537478490749847,0.294913360095725
9,4,0.01,0,0.298786109450682,0.29838224607359676
10,4,1e-08,0,0.2948830706020007,0.2943146249078147
10,4,1e-07,0,0.29488276638698896,0.29431468272840444
10,4,1e-06,0,0.29488321085291447,0.2943172755500655
10,4,1e-05,0,0.2948905791924159,0.2943326020276433
10,4,0.0001,0,0.29489708286436633,0.2943671722385537
10,4,0.001,0,0.29514296344653934,0.2946619188208782
10,4,0.01,0,0.29864135545017095,0.29821636318476846
11,4,1e-08,0,0.2945306677045329,0.2939039190871495
11,4,1e-07,0,0.2945296886517863,0.2939044947323311
11,4,1e-06,0,0.29452654314299964,0.29390664177972287
11,4,1e-05,0,0.29452473462721174,0.2939167462239057
11,4,0.0001,0,0.29455176531998717,0.2939771114339515
11,4,0.001,0,0.2950040754871379,0.2944880178271328
11,4,0.01,0,0.2984321875527426,0.29797974011785255
12,4,1e-08,0,0.29451565909809607,0.29383173008715113
12,4,1e-07,0,0.29451447672604814,0.2938331803089371
12,4,1e-06,0,0.2945105832271822,0.2938358719880554
12,4,1e-05,0,0.2945035480838303,0.29384756204423285
12,4,0.0001,0,0.29454120726698096,0.2939241517650535
12,4,0.001,0,0.2949646456847152,0.29441178716493377
12,4,0.01,0,0.29766951025287947,0.29718726875031765
13,4,1e-08,0,0.29483994954073867,0.294231518203082
13,4,1e-07,0,0.29423984496043176,0.29353679419049566
13,4,1e-06,0,0.29420325400999664,0.29348385553821704
13,4,1e-05,0,0.2941806469918173,0.29349220999840153
13,4,0.0001,0,0.29421811839476164,0.29357500760962174
13,4,0.001,0,0.29481992097805304,0.2942455624222883
13,4,0.01,0,0.29764106143384383,0.29713152944577603
14,4,1e-08,0,0.4843340707784528,0.46774724114179306
14,4,1e-07,0,0.2961574886251735,0.29549605609542556
14,4,1e-06,0,0.302450518557874,0.3015595894594985
14,4,1e-05,0,0.29421684826407446,0.2934839978771785
