degree,gamma,k_fold,lambda,precision,seed,avg_mse_te,avg_mse_tr
0,1e-10,5,1e-10,0.001,0,0.49999999995864,0.49999999995891997
0,1e-10,5,1e-10,0.001,0,0.49999999995864,0.49999999995891997
0,1e-10,5,3.593813663804626e-10,0.001,0,0.49999999995864,0.49999999995891997
0,1e-10,5,1.2915496650148826e-09,0.001,0,0.49999999995864,0.49999999995891997
0,1e-10,5,4.641588833612773e-09,0.001,0,0.49999999995864,0.49999999995891997
0,1e-10,5,1.6681005372000592e-08,0.001,0,0.49999999995864,0.49999999995891997
0,1e-10,5,5.99484250318941e-08,0.001,0,0.49999999995864,0.49999999995891997
0,1e-10,5,2.1544346900318867e-07,0.001,0,0.49999999995864,0.49999999995891997
0,1e-10,5,7.742636826811278e-07,0.001,0,0.49999999995864,0.49999999995891997
0,1e-10,5,2.782559402207126e-06,0.001,0,0.49999999995864,0.49999999995891997
0,1e-10,5,1e-05,0.001,0,0.4999999999586397,0.49999999995891964
0,1.7782794100389228e-09,5,1e-10,0.001,0,0.49999999926450367,0.4999999992694828
0,1.7782794100389228e-09,5,3.593813663804626e-10,0.001,0,0.49999999926450367,0.4999999992694828
0,1.7782794100389228e-09,5,1.2915496650148826e-09,0.001,0,0.49999999926450367,0.4999999992694828
0,1.7782794100389228e-09,5,4.641588833612773e-09,0.001,0,0.49999999926450367,0.4999999992694828
0,1.7782794100389228e-09,5,1.6681005372000592e-08,0.001,0,0.49999999926450367,0.4999999992694828
0,1.7782794100389228e-09,5,5.99484250318941e-08,0.001,0,0.49999999926450356,0.4999999992694828
0,1.7782794100389228e-09,5,2.1544346900318867e-07,0.001,0,0.49999999926450356,0.4999999992694827
0,1.7782794100389228e-09,5,7.742636826811278e-07,0.001,0,0.4999999992645032,0.49999999926948224
0,1.7782794100389228e-09,5,2.782559402207126e-06,0.001,0,0.4999999992645019,0.499999999269481
0,1.7782794100389228e-09,5,1e-05,0.001,0,0.49999999926449756,0.4999999992694768
0,3.162277660168379e-08,5,1e-10,0.001,0,0.49999998692082115,0.499999987009365
0,3.162277660168379e-08,5,3.593813663804626e-10,0.001,0,0.49999998692082115,0.499999987009365
0,3.162277660168379e-08,5,1.2915496650148826e-09,0.001,0,0.49999998692082115,0.499999987009365
0,3.162277660168379e-08,5,4.641588833612773e-09,0.001,0,0.49999998692082115,0.499999987009365
0,3.162277660168379e-08,5,1.6681005372000592e-08,0.001,0,0.4999999869208209,0.49999998700936465
0,3.162277660168379e-08,5,5.99484250318941e-08,0.001,0,0.49999998692082054,0.4999999870093643
0,3.162277660168379e-08,5,2.1544346900318867e-07,0.001,0,0.49999998692081876,0.49999998700936255
0,3.162277660168379e-08,5,7.742636826811278e-07,0.001,0,0.49999998692081266,0.4999999870093565
0,3.162277660168379e-08,5,2.782559402207126e-06,0.001,0,0.49999998692079106,0.49999998700933485
0,3.162277660168379e-08,5,1e-05,0.001,0,0.4999999869207128,0.4999999870092565
0,5.62341325190349e-07,5,1e-10,0.001,0,0.49999976741611574,0.49999976899067144
0,5.62341325190349e-07,5,3.593813663804626e-10,0.001,0,0.4999997674161158,0.49999976899067156
0,5.62341325190349e-07,5,1.2915496650148826e-09,0.001,0,0.49999976741611546,0.4999997689906712
0,5.62341325190349e-07,5,4.641588833612773e-09,0.001,0,0.49999976741611485,0.49999976899067056
0,5.62341325190349e-07,5,1.6681005372000592e-08,0.001,0,0.4999997674161126,0.4999997689906682
0,5.62341325190349e-07,5,5.99484250318941e-08,0.001,0,0.49999976741610425,0.49999976899065995
0,5.62341325190349e-07,5,2.1544346900318867e-07,0.001,0,0.4999997674160742,0.4999997689906299
0,5.62341325190349e-07,5,7.742636826811278e-07,0.001,0,0.4999997674159667,0.49999976899052234
0,5.62341325190349e-07,5,2.782559402207126e-06,0.001,0,0.4999997674155794,0.49999976899013504
0,5.62341325190349e-07,5,1e-05,0.001,0,0.49999976741418806,0.49999976898874376
0,1e-05,5,1e-10,0.001,0,0.49999586415427855,0.49999589215427853
0,1e-05,5,3.593813663804626e-10,0.001,0,0.49999586415427766,0.49999589215427764
0,1e-05,5,1.2915496650148826e-09,0.001,0,0.4999958641542743,0.4999958921542744
0,1e-05,5,4.641588833612773e-09,0.001,0,0.499995864154263,0.49999589215426293
0,1e-05,5,1.6681005372000592e-08,0.001,0,0.49999586415422165,0.49999589215422163
0,1e-05,5,5.99484250318941e-08,0.001,0,0.4999958641540733,0.49999589215407325
0,1e-05,5,2.1544346900318867e-07,0.001,0,0.49999586415354014,0.4999958921535401
0,1e-05,5,7.742636826811278e-07,0.001,0,0.4999958641516247,0.49999589215162465
0,1e-05,5,2.782559402207126e-06,0.001,0,0.4999958641447406,0.4999958921447406
0,1e-05,5,1e-05,0.001,0,0.49999586411999997,0.49999589211999995
1,1e-10,5,1e-10,0.001,0,0.4999999998512411,0.49999999984867977
1,1e-10,5,3.593813663804626e-10,0.001,0,0.4999999998512411,0.49999999984867977
1,1e-10,5,1.2915496650148826e-09,0.001,0,0.4999999998512411,0.49999999984867977
1,1e-10,5,4.641588833612773e-09,0.001,0,0.4999999998512411,0.49999999984867977
1,1e-10,5,1.6681005372000592e-08,0.001,0,0.4999999998512411,0.49999999984867977
1,1e-10,5,5.99484250318941e-08,0.001,0,0.4999999998512411,0.4999999998486797
1,1e-10,5,2.1544346900318867e-07,0.001,0,0.4999999998512411,0.4999999998486797
1,1e-10,5,7.742636826811278e-07,0.001,0,0.499999999851241,0.4999999998486796
1,1e-10,5,2.782559402207126e-06,0.001,0,0.49999999985124083,0.4999999998486795
1,1e-10,5,1e-05,0.001,0,0.4999999998512402,0.4999999998486788
