batch_size,degree,gamma,k_fold,lambda,max_iters,num_batches,seed,seed_cv,avg_logistic_err_te,avg_logistic_err_tr,avg_n_err_te,avg_n_err_tr,avg_ridge_norm_te,avg_ridge_norm_tr,avg_total_loss_te,avg_total_loss_tr,w,w_0,w_1,w_2,w_3
2500,1,0.01,4,0.01,100,1,0,0,0.5409576156932004,0.5409005801404086,0.0848551637279597,0.08503883291351805,0.003859884144755739,0.003859884144755739,0.5448174998379561,0.5447604642851643,-0.3722343755992294|0.04151927910718979|0.01575389100712874|-0.004474454103155376|0.0014621009982962248|0.03261235364370344|0.028566936825020747|-0.013097375682902493|-0.012747513256464506|0.05922028547823459|-0.008122066744946562|-0.0002321387233400105|0.029014776963676735|-0.001158209062872599|0.012647979212002424|0.03441354179112491|-0.007954003697833997|-0.002269780695416706|0.00256034099623104|0.008764053748139768,-0.3678687029964147|0.04143023058944646|0.012891445487987029|-0.00739751695654408|-0.00325866636584373|0.03461902675202014|0.02927416447770398|-0.011381558890749873|-0.016764564117629173|0.05723354340021553|-0.007589690740949557|0.011873120785506308|0.025992982923177685|0.0011212697780049467|0.010077140436912312|0.04198230490083135|-0.020738949780291262|-0.007931091797305362|0.0024233374553968923|0.012451767743881403,-0.3683922853208765|0.041872422757620806|0.017605400195106743|-0.009016280394895434|0.004808709337218858|0.031263025061441255|0.02461661683358952|-0.014721907977829823|-0.01655782472519337|0.06021060258936182|-0.008929310278235328|-0.0008156569770247608|0.028904579324348055|0.004592355936068495|0.014061028789616447|0.035202674674965136|-0.008086482167080876|-0.008551236492934862|-0.0008039755564765048|0.0043421812881266715,-0.3721772723504629|0.04530843583427749|0.016991053211538786|-0.0046722146862652495|0.0008095632648583305|0.033543224122578326|0.030456328720430487|-0.013152496909298131|-0.009719437554992638|0.05854400047020318|-0.010504254448008787|-0.0025262946349160226|0.033184543585834746|-0.0025988457871871716|0.012242905594039606|0.029818776456611656|-0.0020864284526343905|0.0008714292004117004|0.005928881596732552|0.008991317613183902,-0.3804992417291635|0.037466027247414393|0.015527665133882403|0.003188195625083261|0.0034887977569514413|0.031024138638774033|0.029920637268359|-0.013133538953732144|-0.007948226628042841|0.06089299545315783|-0.005465011512592576|-0.009459724066925567|0.027977002021346457|-0.007747616178376666|0.014210842027441333|0.030650411132091493|-0.0009041543913294627|0.0065317763081617|0.0026931204892712206|0.009270948347367093
2500,1,0.01,4,0.01,200,1,0,0,0.4493366531318185,0.4491714378129715,0.08039462636439967,0.0802721802406941,0.006837541074335762,0.006837541074335762,0.45617419420615424,0.45600897888730724,-0.6624716758261714|0.07543668829604122|0.009307276675921228|-0.0159054999512887|-0.01563233856753688|0.04944247778311976|0.04452368954436837|-0.021790232544067516|-0.018519367873259036|0.09913228613460484|-0.008318111303615107|0.0016448584847551253|0.04748238792643761|-0.0078195106949429|0.009752577138379938|0.06087221033169962|-0.009800641219928557|-0.006724347016778048|0.007842709008327516|0.011205303484920753,-0.656448188216639|0.08080714275120067|0.01669108482237269|-0.008611979695713702|-0.016453518026223714|0.05742796676639555|0.05678441827966868|-0.02022856094946813|-0.02107290710742134|0.10360531456431488|-0.002469030876736042|0.01394595860374001|0.052276254548843964|0.003958974911176848|0.010305126719767558|0.07532337995881731|-0.02519895169104852|-0.004250071041516263|0.012004813543437085|0.024669451310814817,-0.6622008923361684|0.0745993349054422|0.01756186465012519|-0.018308344299176122|-0.00864624913375031|0.04964484041457397|0.043898669674104704|-0.019297790483686673|-0.019332723746306315|0.10001475852511636|-0.014582921700481435|0.005334468444334383|0.054050564701386763|-0.004564207179527664|0.012526509126910909|0.059339102266222354|-0.01570294926152091|-0.011608958556791846|0.009698809127181594|0.009134731851889611,-0.6638141159962097|0.07327891772615051|0.006767426909418964|-0.023463408946846086|-0.017425384635472812|0.04656865535555324|0.04215869621617557|-0.025608845526605386|-0.018246129005798414|0.09690396973689855|-0.013179376419896817|-0.0034451745035254558|0.04609158604999991|-0.012233852421408519|0.006839909164507936|0.04987227438210189|-0.0044731626094896|-0.005634222866715932|0.007947964129583322|0.007312002328719081,-0.6674235067556687|0.07306135780137153|-0.003791269678231931|-0.013238266863418894|-0.0200042024747007|0.04412844859595629|0.035252974007524494|-0.02202573321650987|-0.01542571163351007|0.09600510171208956|-0.0030411162173461315|-0.009255818605528437|0.037511146405519794|-0.018438958090012267|0.009338763542333352|0.058954084719656914|0.006172498682344802|-0.005404135602088149|0.0017192492331080612|0.0037050284482595
2500,1,0.01,4,0.01,300,1,0,0,0.3909550827246056,0.39085818829512964,0.07590785054575987,0.0758641197872936,0.00916308331271211,0.00916308331271211,0.40011816603731776,0.4000212716078418,-0.8904557538378304|0.08986724782097055|0.004173746937269304|-0.024476491981858653|-0.025864139091134823|0.06410364607990016|0.054444401092144726|-0.03593105088472754|-0.02509078135407438|0.13371385156561838|-0.01585352865229153|-0.0022660319113144783|0.05652029969681241|-0.010213486872720418|0.01702320038589888|0.07504134002234732|-0.0038482007695594053|-0.018259877014664805|0.0034623721502971133|0.011659794201713487,-0.8923172548701113|0.0854531134621293|0.009049558986335955|-0.028416361837857305|-0.02361415266198549|0.06653160592961042|0.05970703639157701|-0.03388080889906313|-0.024948334169658234|0.1352766802858077|-0.015032436280917504|0.008761963254571712|0.05509114959193703|-0.003388399265333086|0.00827975337077033|0.0745247336762423|-0.01630608298565285|-0.020191313755033646|0.0021191082401192593|0.017555520555724693,-0.89264926327593|0.08928275406478497|0.009474643243580383|-0.025700139304938092|-0.020510462629159554|0.05705913924594719|0.05064042693919684|-0.030720297916528885|-0.02472415749503773|0.12849780085717927|-0.025761706869436834|-0.0008597642475965191|0.06348468146670809|-0.004692773573932381|0.019524973034025495|0.07211168559797944|-0.006635532799832068|-0.01962542606062349|0.0028819495733578095|0.007662894951064493,-0.8901529951431082|0.091602414213053|0.0018162629164468111|-0.02641521149267605|-0.029501940467678626|0.06625044180305206|0.05439032988486146|-0.038727879012316696|-0.02288322369119949|0.12963118824537553|-0.021982370827744534|-0.00562740847680239|0.05746270254180383|-0.016604162802818224|0.01748810654349449|0.06976770511550019|0.001584284514501199|-0.017090881051469706|0.005011241180818209|0.01077366230926841,-0.886703502062172|0.09313070954391495|-0.003645477397285935|-0.017374255291963174|-0.02983000060571563|0.06657339734099094|0.0530398111529436|-0.04039521771100145|-0.027807410060402063|0.14144973687411094|-0.0006376006310672455|-0.011338918175430717|0.05004266518680067|-0.016168611848797976|0.022799968595305215|0.08376123569966736|0.005964528192746096|-0.01613188719153237|0.003837189606893175|0.010647098990796359
2500,1,0.01,4,0.01,400,1,0,0,0.35056198677046657,0.3504651781228566,0.0744647355163728,0.07477959697732998,0.011120922312105208,0.011120922312105208,0.3616829090825718,0.3615861004349618,-1.0802088123627558|0.10922937775171183|-0.0016637926517127396|-0.029093979391795532|-0.032850044044491475|0.07970987492046569|0.06091280704858797|-0.047415172379400836|-0.028168705608398712|0.16617070301324033|-0.009386410366616213|-0.00950490308155094|0.06606467693705191|-0.0018207500358182398|0.021006495998135775|0.09377049182917455|-0.005105497674556459|-0.029711255527347945|-0.001554928637299298|0.009801066092080452,-1.0792236721555895|0.10106943342239302|0.004632136415865381|-0.028124837419378303|-0.02842575522959676|0.0913756299691822|0.06862277393633492|-0.04306936189501495|-0.027177964420574827|0.16835957416102054|-0.005209792726424394|-0.004688857027811592|0.06183483597960511|0.0022698450459258768|0.016067153416759523|0.0920250100100523|-0.01774052967975653|-0.03410394335315692|0.0013747407888193314|0.019328601427958437,-1.0763768504957756|0.11220509968955045|0.0029327333528548797|-0.02682528166712929|-0.029479329290069165|0.0821856871132309|0.060632934539357905|-0.043292755175513266|-0.028060210782594457|0.16722949834529005|-0.020470400967635062|-0.005877769800534932|0.07770324698845037|0.0013411375590182749|0.022544402250013123|0.09572268137284179|-0.007902728450959073|-0.028733697388033816|0.0002650167721745268|0.007459262330415346,-1.0841597731000254|0.10682476521585559|-0.0043626267806026065|-0.030742619642123152|-0.03726168793485883|0.07357763919739374|0.059471394502299685|-0.055532471794841276|-0.02485059474969915|0.1599184010714445|-0.015347165034334786|-0.013486180538508275|0.06236157385607859|-0.00886555934415732|0.02165543980510518|0.08872917455388289|0.001584704848214252|-0.02734838122636821|-0.0024992293471843407|0.008320775666869897,-1.0810749536996327|0.1168182126790483|-0.009857413594968613|-0.03068317883855138|-0.036233403723441124|0.07170054340205588|0.05492412521635937|-0.04776610065223387|-0.03258605248072641|0.16917533847520616|0.003481717261929389|-0.01396680495934896|0.06235905092407356|-0.002028423404059792|0.023758988520665287|0.09860510137992119|0.003636562584275517|-0.028659000141832845|-0.00536024276300671|0.004095624943078129
2500,1,0.01,4,0.01,500,1,0,0,0.3218926120243425,0.32181563864102003,0.07380877413937867,0.073957458718164,0.01275877170455312,0.01275877170455312,0.33465138372889564,0.3345744103455731,-1.2383166699668169|0.11455146065886462|-0.0016310912401752311|-0.04004500837817674|-0.03165355488596796|0.09521211612022469|0.06627267843144087|-0.07065329730246506|-0.03298928576356436|0.20345540988774133|-0.0047670410339923286|-0.011833854305989972|0.06654297749451447|0.004608978412198052|0.013893793079581296|0.10399513941900701|0.009525979813499775|-0.037939304066488794|-0.012216917921056067|0.006354643682367179,-1.2388401534474842|0.10911632712481435|0.0016059369694216253|-0.04087804510589327|-0.02809551206384047|0.10127045672540952|0.07251731103714654|-0.06192966955442823|-0.0327397450569632|0.20342844652400519|0.007946435958868176|-0.011811158175385231|0.0611139758397761|0.013299978521012409|0.01371004292228768|0.10330290564418035|-0.001628819288173772|-0.04641118106484926|-0.0097217107442671|0.014337393281337872,-1.2361574161253817|0.11460943588613622|0.0012096302788471628|-0.03716460651330913|-0.028581155884092383|0.09793797885207135|0.06386803684000862|-0.07007281468927343|-0.029622685122441622|0.2050728840959506|-0.011468031615707025|-0.009592969972921537|0.07251461852621009|0.01093156732502666|0.016609797262550685|0.10525278068443696|0.010655953064830305|-0.03930590405100783|-0.010794912454076684|0.0036688346980085326,-1.242666260906262|0.11606077145398178|-0.000554729041854486|-0.03952582594933455|-0.036074850076220855|0.09178757200862123|0.06638404184775587|-0.07600462973673286|-0.027715646940202284|0.1974777695266276|-0.011896195470601627|-0.017336026477223692|0.06843109009071047|-0.0031078204907813846|0.009606189104583555|0.10140006534937425|0.018725652868137967|-0.031198375473384554|-0.014603532303369991|0.005058941377861088,-1.2356028493881397|0.11841930817052616|-0.008785203167115226|-0.04261155594417001|-0.033862701519718125|0.08985245689479664|0.06232132400085245|-0.0746060752294257|-0.04187906593465032|0.20784253940438205|-0.003650373008528838|-0.008595262598429429|0.06411222552136124|-0.002687811706465474|0.015649143028903266|0.10602480599803647|0.010351132609204597|-0.03484175567671353|-0.013747516182510492|0.0023534053722612243
2500,1,0.01,4,0.01,600,1,0,0,0.3015840048438896,0.3015014375543928,0.0728117128463476,0.07268052057094879,0.01411991573174902,0.01411991573174902,0.3157039205756387,0.31562135328614177,-1.3711019406802696|0.12716947418041516|-0.0057011635891115065|-0.051818747679331326|-0.03314133252261504|0.10763400855518451|0.0618086218285539|-0.07899097451282158|-0.039442324896182185|0.22115913885901176|-0.008013594704906458|-0.014686119629244127|0.06929714630856897|-0.004291574819128997|0.014256758556465986|0.11197548395415831|0.006205490672939915|-0.05091774768105251|-0.022291069619225248|-0.004403372273764872,-1.3771949353894246|0.12078549244726022|-0.0004240777818849273|-0.05768594639023273|-0.029143736017138676|0.10296873082318503|0.06683767045901325|-0.061207909161367126|-0.03755953724353315|0.21701939869415474|0.01081224404308511|-0.01566881581364096|0.07197262918017155|0.007974337623796549|0.013431757210091261|0.10729801034798661|0.0008490321441921451|-0.0603933663603763|-0.02375233798287905|-0.0012462411546056002,-1.3704498985623543|0.1268177002376107|-0.002546708221145212|-0.046265295136515935|-0.02812754078646975|0.10855892993619475|0.056743063261778304|-0.07408980077698737|-0.03604194099851072|0.21701424583859294|-0.012990897392321784|-0.015348115761083749|0.07730201229039849|-0.0014076008707108725|0.014560160443279622|0.1124660781667809|0.012817901722923212|-0.055579052190023896|-0.023762629719386325|-0.009620053441489515,-1.371793434009499|0.12941320283974067|-0.0007306699553564991|-0.04936048307578786|-0.034327488734140925|0.10947654835334918|0.06474642120132502|-0.0906203773627449|-0.03574330083382945|0.22268346978648862|-0.01831255633013632|-0.019167605622159477|0.068716357563371|-0.009901334971145774|0.014579650209004534|0.11130490013681807|0.00656076059308389|-0.040342628847011834|-0.021634498326250723|-0.0026643065194004913,-1.3649694947598008|0.13166150119704909|-0.01910319839805939|-0.05396326611478877|-0.04096656455271081|0.1095318251080091|0.058907332392099034|-0.09004581075018694|-0.04842452050885544|0.22791944111681073|-0.01156316914025284|-0.008559941320092315|0.05919758620033484|-0.01383170105845589|0.014455466363488522|0.11683294716504762|0.00459426823156041|-0.047355943326798024|-0.02001481244838489|-0.004082887979563881
2500,1,0.01,4,0.01,700,1,0,0,0.28631798135912634,0.2861574851242085,0.0723656591099916,0.07228694374475231,0.015285976975148618,0.015285976975148618,0.3016039583342749,0.3014434620993572,-1.4862032090991553|0.13674999332421178|-0.010546194541367411|-0.05363419908477256|-0.03473082611420812|0.1196517539983889|0.0651141182311813|-0.0805465132797792|-0.04023414741468673|0.23040623397182597|-0.0033923299945429223|-0.01393928875344225|0.07422434378162711|0.001119507515840575|0.005333724701731271|0.1206652154826065|0.004909560743305121|-0.061885852259327474|-0.020923049723135582|-0.0016960434763879462,-1.4898699294012803|0.13479862896587774|-0.007489190169854379|-0.05455174364119614|-0.028455038361639224|0.12234979535158642|0.07285901409215427|-0.06404399416549043|-0.037171597216020584|0.22425048680144388|0.012740163877206275|-0.017628957041526516|0.07563783430619596|0.006040694280324402|0.011847386740516698|0.12259519827319211|0.002837206790423764|-0.06596648080285472|-0.01810959350342883|0.007485775354230373,-1.4862159223872609|0.13446360006658323|-0.010707413801531222|-0.04897411597785789|-0.03110437664034018|0.1168069294098442|0.056606872170672215|-0.07689267510153362|-0.03768719177750156|0.22686455246157472|-0.007486378988856334|-0.011566524437529304|0.07958303009969071|0.003320980398365623|0.003059335048217919|0.12064028812357243|0.01232676732977025|-0.0680125036106814|-0.02221198736336855|-0.008994616483851687,-1.4873954277801353|0.1363800021039651|-0.006232133755245404|-0.0531668389063365|-0.0387526998773698|0.12081564689678014|0.06486529702689246|-0.09127793905530153|-0.03472890765097302|0.22939713857475985|-0.010319744992004765|-0.018081751779766352|0.07154674846195747|0.001773999485024583|0.0019721511343863594|0.11597202410928496|0.004932781632179797|-0.05494262162278093|-0.022880957178658453|-0.0025785183491945918,-1.4813315568279446|0.14135774216042107|-0.01775604043883864|-0.057844097813699716|-0.04061118957748329|0.11863464433534483|0.06612528963500623|-0.0899714447967912|-0.05134889301425173|0.24111275804952534|-0.008503359874516865|-0.00847992175494683|0.0701297622586643|-0.006657644100352308|0.004456025883804109|0.12345335142437652|-0.0004585127791533278|-0.05862180300099284|-0.02048966084708649|-0.0026968144267358798
2500,1,0.01,4,0.01,800,1,0,0,0.2751096367067499,0.2749952394695303,0.07249685138539043,0.07239189756507138,0.01625194733368902,0.01625194733368902,0.2913615840404389,0.29124718680321937,-1.5751347563475204|0.15271723740517312|-0.020137993999793893|-0.059998183565501635|-0.04347610129301686|0.13148296153650535|0.07668083958123804|-0.08718858838558671|-0.04527166732963658|0.25802125031644674|-0.0005991290840838925|-0.010696061052103707|0.08519109495901697|0.001413596973922036|0.00655568766317549|0.13600595659463882|-0.0012685721519939837|-0.06832831719557377|-0.022755565078340385|0.0024281772634266435,-1.5745652372172223|0.1486275578731236|-0.01314684432079468|-0.06783953817813888|-0.03680326513673187|0.13193260665056|0.0839529523644979|-0.08265923269852231|-0.04839539749675131|0.2586311356678402|0.018482512593763035|-0.011197666486051673|0.08326040613040123|0.008247603832300186|0.014273910130306834|0.13404718742225974|-0.00551955774588884|-0.06913494616639199|-0.021419098420898144|0.009258195803173544,-1.5703735217683235|0.15175005006872566|-0.018859037918337086|-0.05473824554595948|-0.041362838452030724|0.12315455906991392|0.07154566226875328|-0.0856569560380073|-0.040696008663024495|0.2610613257283955|-0.0027213315772182563|-0.003222708198398909|0.0924321049627315|0.005357687048336281|0.005920005643494992|0.13743317555443188|0.004756372004698578|-0.07301246858493507|-0.022306342742758514|-0.0031869281537935737,-1.5781046200031201|0.15471792362651227|-0.018121817268579123|-0.057034757037318674|-0.04770948524041093|0.13312344676036755|0.07756691395061181|-0.09288772404690925|-0.03934945316266596|0.2537799258216151|-0.00789548102767239|-0.016143571688921877|0.0849394185344456|0.0019000293161563128|0.004252120099175105|0.1347019149265749|-0.0018782837179350765|-0.06311845562863483|-0.02557261961298204|0.003257501157337303,-1.5774956464014156|0.15577341805233097|-0.030424276491464685|-0.06038019350058951|-0.04802881634289391|0.13772123366518|0.07365782974108921|-0.08755044075890799|-0.05264580999610457|0.2586126140479361|-0.010262216325207959|-0.012220297835042368|0.08013245020848958|-0.009850932301104636|0.00177671477972503|0.13784154847528868|-0.0024328191488505973|-0.06804739840233318|-0.02172419953672283|0.0003839402469893008
2500,1,0.01,4,0.01,900,1,0,0,0.266285407266337,0.26613625915077194,0.07249685138539043,0.072208228379513,0.017102188494343074,0.017102188494343074,0.28338759576068007,0.283238447645115,-1.658355938632987|0.1565847589271558|-0.029392321176182526|-0.06263321236284171|-0.04672358852238303|0.13635772842179725|0.08043825787539347|-0.09024525042527642|-0.04343242312134668|0.26992686926804477|-0.0036125922969747135|-0.00800378262506202|0.08652761550465624|-0.004759249402800021|0.0023994873227929825|0.14263936873673783|0.0005721262044669755|-0.07630200598347976|-0.029132019093461168|0.0039500312259539185,-1.6579103220145894|0.15514871302458255|-0.022542491759219237|-0.07669402253546503|-0.038966430384908025|0.13693279991994498|0.07987041430574937|-0.08685704791811617|-0.05122909925347297|0.26453793581671675|0.0058254163581018285|-0.008669517284140983|0.08032548779121852|-0.001642466092882082|0.007103740065820716|0.13830805712823463|-0.004711440138383968|-0.08683703066805477|-0.025416865588455694|0.004808256496460233,-1.6523351269258806|0.15339488106864144|-0.023382899362556973|-0.06073934298288765|-0.04166583424958479|0.12162297465884449|0.07407813202797786|-0.09118472422613541|-0.04070107196351329|0.2786929479205645|-0.006615491483577759|-0.001319174194468473|0.0952922310330461|-0.0030942787867066722|0.00048267779409837065|0.14186814963983285|0.007262718130010585|-0.08065434839495504|-0.030175560426652814|-0.00545314138649334,-1.6631098420773442|0.15566463661821398|-0.03057638647177056|-0.05863417971598679|-0.05422149857490266|0.1408324262553462|0.08146243942654033|-0.09414411386510609|-0.031966692848624884|0.2637536644557798|-0.004617101916457808|-0.008269705435125865|0.08431898890014507|-0.0020890154543090774|0.0016981944700880866|0.14080089250950417|-0.0016147356856397728|-0.06873135184649433|-0.03337901220942202|0.005689621392552069,-1.6600684635141336|0.16213080499718527|-0.04106750711118332|-0.05446530421702741|-0.05204059088013665|0.1460427128530533|0.08634204574130633|-0.08879511569174803|-0.04983282841977558|0.27272292887911803|-0.009043192145965115|-0.013756733586512762|0.08617375429421525|-0.012211237277302252|0.0003133369611647579|0.14958037566937968|0.001351962511881058|-0.06898529302441493|-0.027556638149314142|0.01075538840129671
2500,1,0.01,4,0.01,1000,1,0,0,0.2591013960940897,0.25893642565759983,0.07168345927791771,0.07181465155331655,0.017850742565966624,0.017850742565966624,0.2769521386600564,0.2767871682235664,-1.7304838013469197|0.1685717933180398|-0.04162204596257247|-0.06892151347957268|-0.04916668953705419|0.15042262374803517|0.08013308351268048|-0.08790084563471302|-0.04363910903067317|0.27671002260545124|0.0011047338310688657|-0.006509893954198213|0.09074906723011324|-0.0043613751004793885|0.004337470250261307|0.14876441805135213|-0.0013273873054777583|-0.0868569768411782|-0.027578323327160682|0.0047966587134457474,-1.7346567320172748|0.16839507529754422|-0.034428765009329794|-0.07773835494629558|-0.04276817278171501|0.16272138633630898|0.08386716799747211|-0.08456239658837301|-0.04752428262319517|0.27371364928938924|0.006657699350523428|-0.01119418505279389|0.08183324547297297|-0.001306230938997022|0.006657070785461372|0.1542341267689669|-0.0022469160699941926|-0.09464066249292147|-0.018498358029662206|0.01107652078218439,-1.7250109313835222|0.1696340596955145|-0.0359398430856435|-0.06665881603780964|-0.04642800611951886|0.13721767221842976|0.07472686879313471|-0.0881287476895487|-0.04245216963547129|0.28761540724586515|-0.00043537902483848555|-0.0006289807610652|0.10012560903551977|-0.001953824373867408|-0.0010199724606006794|0.15116124988084728|0.005322126996795395|-0.08850020551802598|-0.02737147627133646|-0.0028555229899774014,-1.734647904513007|0.1695532325448555|-0.04136468652217872|-0.06934061886083163|-0.05409216453057178|0.14970128380150483|0.07745843353897613|-0.08964046618030846|-0.032980373039976994|0.2667195725499079|0.001740072112545563|-0.002757057029543372|0.09102021928245348|-0.002105009073628797|0.00466685469463198|0.14184264332589197|-0.0060875170263628015|-0.08355557806469079|-0.0349166229160727|0.003073729226225362,-1.7276196374738741|0.1667048057342449|-0.054754889233137864|-0.06194826407335383|-0.05337841471641112|0.15205015263589708|0.08447986372113893|-0.08927177208062194|-0.0515996108240492|0.2787914613366427|-0.0035434571139550436|-0.011459352973390388|0.09001719512950675|-0.012080436015424327|0.007045927981552554|0.14781965222970234|-0.002297243122349434|-0.08073146128907455|-0.029526836091571362|0.007891907835350641
