batch_size,degree,gamma,k_fold,lambda,max_iters,num_batches,seed,seed_cv,avg_logistic_err_te,avg_logistic_err_tr,avg_n_err_te,avg_n_err_tr,avg_ridge_norm_te,avg_ridge_norm_tr,avg_total_loss_te,avg_total_loss_tr,w,w_0,w_1,w_2,w_3
2500,1,0.01,4,0.01,100,1,0,0,0.5954570239557548,0.5954372744017847,0.2519786415135252,0.251784391319275,0.003140290555748909,0.003140290555748909,0.5985973145115038,0.5985775649575336,-0.15488007668550055|-0.014927429767816369|-0.1541606290044969|-0.024947724862929066|-0.01565894299015985|0.05235841631855499|-0.015630246732105096|0.02028230687021347|-0.13622842186043319|0.04222451978396935|0.10578658900971649|0.0041153987551282925|-0.006642775047352727|-0.07246132739410864|0.010592214148878936|0.014052548975705828|-0.09189868453000492|-0.0016941803241776812|0.014274408191403739,-0.15350898005371452|-0.0032937771326988115|-0.15061579286949497|-0.013948845790446949|-0.017680967747483196|0.06395226606664263|-0.017481801679960583|0.028479044089725458|-0.13324337702999864|0.033453563977358707|0.11323025681594566|0.012186657285520744|0.003841656711589802|-0.06490584804167891|0.00023794464967885452|0.017332116795541256|-0.08288174341074515|-0.006492563411688365|0.01742394342441254,-0.15539991839494058|-0.01341332883294165|-0.15473768668830606|-0.02197701383564388|-0.01810634025079559|0.05316844646085652|-0.01810912917900335|0.021815814532337687|-0.13390631253429874|0.04682977825758363|0.1077070838515645|0.005461434113998319|-0.00832623346935733|-0.0703455091422743|0.005201131569030043|0.014427286326399323|-0.0935844843155417|-0.009608602700191739|0.012331794290401366,-0.15825018144873734|-0.022147335883213572|-0.15334845703241734|-0.03253256596260905|-0.014007462348837648|0.046883162115841565|-0.013996675619804715|0.014743205512733207|-0.13552035290733197|0.05207891233409141|0.0992052823448747|-0.0036995731257333923|-0.007749309319711719|-0.07620249168063037|0.01461310601926217|0.011962731663508726|-0.09637305851950966|0.0009390344926748077|0.011944285707064599,-0.15236122684460976|-0.020855277222411445|-0.1579405794277692|-0.03133247386301638|-0.012841001613522965|0.045429790630879256|-0.012933380449651739|0.01609116334605753|-0.14224364497010336|0.03653582456684364|0.10300373302648112|0.0025130767467275005|-0.01433721411193166|-0.07839146071185098|0.022316674357544676|0.01248806111737401|-0.09475545187422318|0.00838541032249457|0.01539760934373645
2500,1,0.01,4,0.01,200,1,0,0,0.55546803842797,0.5554680566338903,0.24071664769339188,0.2409199327803979,0.005076968589829905,0.005076968589829905,0.5605450070177999,0.5605450252237202,-0.2827318791713682|-0.017521721746390113|-0.23282315685010607|-0.04112901441783863|-0.027886772909137922|0.09257543713611799|-0.02794821265478048|0.05304742921577875|-0.2102439973039833|0.05665554107208416|0.18158495429027416|0.012376853559666907|-0.00023228050495169034|-0.09678522534886383|0.010976909507828352|0.016208994792277078|-0.12717274668412404|-0.0010883685518721055|0.040426488499267166,-0.2861051664013861|-0.011692671133279958|-0.23540980449892393|-0.036668846739223604|-0.029373653255367144|0.09625562360292207|-0.029291935230008292|0.054244771219754524|-0.2088516311974399|0.0506831012632593|0.1842324572857575|0.017901379100973905|0.02008773289516617|-0.09566567599258735|-0.007237281075193664|0.012340957529339211|-0.12256239058996755|-0.0022356982979073875|0.040176384866852446,-0.2858801706861081|-0.016663394425009595|-0.2287077597586149|-0.03780654372774993|-0.02934699231091189|0.08882128965452092|-0.02946312574113776|0.05827712623223245|-0.20832028424995347|0.05342880373424551|0.1859045044484569|0.012284905402411133|0.003475048526739805|-0.09133765266726031|0.005593495395728282|0.012610273379970244|-0.1213602759364114|-0.0012823131764227544|0.038786005250405396,-0.2834247567283337|-0.02099153001850042|-0.22916617942978848|-0.04402759226572034|-0.02689468731796555|0.09045230651087834|-0.026929587137626543|0.052106527406426836|-0.2113020048005754|0.06624023341018179|0.17953498190620243|0.006486465938508329|-0.009308621854259638|-0.09763038420230119|0.018362699816211105|0.01986311918037769|-0.13291356907845492|-0.0024317275705609143|0.03934295368645442,-0.27551742286964487|-0.02073929140877048|-0.23800888371309697|-0.046013074938660636|-0.025931758752307105|0.09477252877615058|-0.02610820251034933|0.04756129200470118|-0.21250206896796445|0.05627002588065006|0.17666787352067984|0.01283466379677426|-0.0151832815874531|-0.10250718853330648|0.027188723894567685|0.020021629079421163|-0.13185475113166226|0.0015962648374026347|0.043400610193356406
2500,1,0.01,4,0.01,300,1,0,0,0.5345569583772471,0.5344813763250605,0.23738277226649318,0.23753184799696428,0.006459011233916551,0.006459011233916551,0.5410159696111636,0.540940387558977,-0.3791575860181116|-0.02910064191137936|-0.2891096586602874|-0.06890164334592452|-0.036588373393721174|0.13159981290108527|-0.036711502452293945|0.06450962242770511|-0.25527639485617315|0.0698053388640187|0.22026045529989363|0.008315611676947866|0.013677859135196813|-0.11686407952053274|0.011508820995203534|0.006444464997665522|-0.15599018334547166|-0.012567486961292711|0.048644779297122416,-0.38863699992232065|-0.02466389155166921|-0.2890220578140517|-0.06788641463789354|-0.030722959480684316|0.12848742017428547|-0.030680804179041832|0.06577383666213113|-0.25352257694024855|0.06710231858940505|0.22505492145497602|0.016927674801439006|0.02925969265366956|-0.11774717947230341|-0.0003033048320140602|-0.0017107672771393757|-0.1428955361240827|-0.015426666643664901|0.053397349233336784,-0.3714532300669655|-0.02608882527771832|-0.28751252864935745|-0.06307710305023168|-0.038820489924641544|0.1329012725382361|-0.038997116558981526|0.07009943299904818|-0.2556139639282316|0.06901337980736215|0.22579254529368795|0.0015077112124022528|0.0102504920850455|-0.1118363477274326|0.0038734010542827947|0.007607189610862735|-0.15379605308416394|-0.013134969932185082|0.04973040651651169,-0.37990269259252657|-0.03549120821590381|-0.28759532349157135|-0.07413776083229703|-0.04128807222015133|0.13363283353322572|-0.04140467481741161|0.059834152121258984|-0.25510754073237646|0.07471905710518825|0.21346163517403174|-0.001329682651809689|0.010567427517146335|-0.11876759951939093|0.01195168668585405|0.011440930047148893|-0.16396022874974645|-0.011862789199442041|0.040849913069391224,-0.3766374214906336|-0.03015864260022609|-0.29230872468616914|-0.07050529486327585|-0.03552197194940751|0.13137772535859385|-0.03576341425374082|0.06233106792838219|-0.25686149782383605|0.06838659995411936|0.21673271927687893|0.016156743345759894|0.004633824284925856|-0.11910519136300403|0.030513501072691348|0.008440507609789835|-0.16330891542389347|-0.009845522069878819|0.05060144836924996
2500,1,0.01,4,0.01,400,1,0,0,0.5215775525210782,0.5214577144585464,0.23399468748305957,0.2339766176975479,0.00751291859418801,0.00751291859418801,0.5290904711152661,0.5289706330527344,-0.4673691447163608|-0.037614523255793675|-0.3256935388562226|-0.09742673499721638|-0.04427189289286115|0.16342097808227243|-0.04446913525787925|0.07143424258055227|-0.278897016391419|0.07996588819018904|0.24354882544260886|0.0053863282966637015|0.008250727958512588|-0.12857406922739026|0.010863699855689265|0.008875923495558144|-0.1716609654460377|-0.013891177328994316|0.049128616842712386,-0.46873525577132136|-0.034937130219329385|-0.32611812146716923|-0.10001747399577704|-0.03569259973799414|0.15666540341581014|-0.03574216882563827|0.07022354457039023|-0.2831219109415098|0.08158977690322616|0.2501481969515463|0.018752107956772544|0.021299980036306426|-0.1346710661633815|0.008128723403399438|-0.004160676136948107|-0.14987363292361813|-0.01660437408188436|0.048015130266501276,-0.4632300181969929|-0.03464835112314354|-0.32424076541922964|-0.09346578061664194|-0.04738872994447113|0.16486819417787896|-0.04767718070241708|0.07416451720180066|-0.2750350243444401|0.07828744794716165|0.24446058267527562|-0.0035502915295749365|0.004028102087199916|-0.1229805267675653|0.0008535292812615099|0.006245132833781716|-0.16729481982098263|-0.016443949996567255|0.041696068354631556,-0.47279717753758826|-0.043556109892882645|-0.3243914849602238|-0.10073918259452688|-0.05558800193661128|0.16743231732088043|-0.055759853189404074|0.06799639635754097|-0.2770806017944913|0.07546848536221719|0.23626049523840675|-0.005904594010995051|0.00761243196565599|-0.12893026651219375|0.006501877168300741|0.014254819647609444|-0.18518417826712136|-0.013391513343951379|0.04233187428303654,-0.4647141273595408|-0.03731650178781914|-0.3280237835782677|-0.09548450278191967|-0.03841823995236807|0.1647179974145202|-0.03869733831405758|0.07335251219247725|-0.28035052848523484|0.08451784254815119|0.24332602690520683|0.012248090770452249|6.239774488801654e-05|-0.12771441746642045|0.02797066956979537|0.019164417637789526|-0.18429123077242865|-0.009124871893574275|0.06447139446668018
2500,1,0.01,4,0.01,500,1,0,0,0.5134294232088458,0.5133123030547388,0.23230064509134277,0.23249037783921506,0.008290168407550435,0.008290168407550435,0.5217195916163961,0.5216024714622892,-0.5277874735912612|-0.05317976522323486|-0.35441868368421264|-0.12903665045894885|-0.03743362383732221|0.1841643475918155|-0.03764624855621407|0.07695095828831239|-0.2961521243932418|0.0859224022739997|0.2600527486470894|0.0032795194574498443|0.00352539915703107|-0.13555831928209|0.008708231657229807|0.013717094564122623|-0.18388750901741796|-0.013156473121270464|0.0683933415612746,-0.5318477472696509|-0.04792821857297821|-0.356621820324602|-0.1299475871937045|-0.025912767726644474|0.17648358239993675|-0.025950357538690617|0.0803579436965694|-0.29586955531311365|0.08910952452620069|0.26805496965549697|0.012329796899978446|0.0038423282718923406|-0.1360888747767963|-0.005763821931015897|0.0013738320308548711|-0.16552189880820528|-0.004334540771435259|0.07350607030336503,-0.5174223489260563|-0.05375657926066264|-0.3549000450335642|-0.12903722167127044|-0.04044989001435876|0.18052034696741473|-0.040731424958833154|0.07712537670035735|-0.2909810710593095|0.08647012244793388|0.2577517270117715|-0.006938370421693847|-0.002396994205414192|-0.13104121984425773|-0.0026845740764443893|0.011448998388149634|-0.18367195375252374|-0.011732824762018906|0.06843669890223883,-0.5318670204142867|-0.05846503721938413|-0.34889382305316446|-0.1306119443985603|-0.04625513614439136|0.18966567486779204|-0.04641475971373221|0.07275734493257442|-0.29354855242495|0.07940475392986379|0.2504217415816965|-0.009289443844073595|0.007673467799203079|-0.13484169712509422|0.008937988961728429|0.019879793663436063|-0.19261018209223507|-0.01866325969161714|0.057085657974502935,-0.5300127777550507|-0.05256922583991444|-0.35725904632551986|-0.12654984857226015|-0.03711670146389426|0.1899877861321184|-0.03748845201360029|0.07756316782374836|-0.3042093187755942|0.08870520819200045|0.26398255633939255|0.017016095195588374|0.004982794762443052|-0.14026148538221173|0.03434333367465109|0.02216575417404992|-0.19374600141670784|-0.01789526726001055|0.07454493906499161
2500,1,0.01,4,0.01,600,1,0,0,0.5069210684964327,0.5068184241817809,0.23041686995175364,0.23089571926781227,0.009002917233401688,0.009002917233401688,0.5159239857298343,0.5158213414151827,-0.587017262945126|-0.06400558695925054|-0.37758542758867103|-0.15652693413308524|-0.03508914429208751|0.20549086602474323|-0.035525142298899234|0.08337643951779881|-0.3081935063527118|0.0943387683879239|0.2775408716783368|0.010717802100066193|0.009167441508018563|-0.1399926954416467|0.011068275060934694|0.004865184414417219|-0.1872475895850491|-0.009438862087131388|0.07947693274627161,-0.5779231116430007|-0.06315293765498774|-0.37877878138059223|-0.16098142430158394|-0.029035989760700105|0.19595246649146383|-0.029451822470245373|0.09039618870278805|-0.3120047026387275|0.09086730251988732|0.287687337874453|0.007939041984411003|0.001543330614317969|-0.13768529185733594|-0.008086044487237517|0.0010004897463839631|-0.17392276141070856|-0.001869336319499624|0.08885759435522662,-0.5762919252014057|-0.06652023305960829|-0.37908926026878126|-0.1589147348705511|-0.03491081782376333|0.20019111093862674|-0.03555138450456079|0.08174042661748762|-0.30539002157911144|0.09635013333836039|0.27710044648702226|0.0042987729022821025|0.004005252194263176|-0.13896402859734244|0.004111750599184668|0.00016029552354400038|-0.18523698062016525|-0.009360405557404358|0.08461501566981315,-0.5903197086179853|-0.06974944647718978|-0.37424203633369263|-0.15928664447570787|-0.03695167352840583|0.21073168712569987|-0.03723709472594515|0.07756570806864438|-0.30391661791928004|0.09626201343179723|0.2656907128795124|0.00799103737146198|0.016918436115747355|-0.13929466167286536|0.017490313808247934|0.009600683146112577|-0.19659661951195315|-0.014697193300887649|0.06834918476836377,-0.6035343063181123|-0.056599730645216374|-0.37823163237161794|-0.146924932884498|-0.03945809605548077|0.21508819954318248|-0.039860267494845614|0.0838034346822752|-0.31146268327372817|0.0938756242616507|0.27968498947235954|0.022642356142109688|0.014202747107745753|-0.14402679963904302|0.030757080323543688|0.008699269241628338|-0.19323399679736958|-0.01182851317073392|0.0760859361916829
2500,1,0.01,4,0.01,700,1,0,0,0.5018450043951073,0.5017543775464302,0.22998319509947415,0.22965793896026454,0.009667017440014983,0.009667017440014983,0.5115120218351222,0.511421394986445,-0.6347367292823245|-0.07003688327963437|-0.39804668835729634|-0.17818341374108287|-0.03778477505675094|0.2272423477076882|-0.03824157471664077|0.09232250439452254|-0.32659176673588275|0.10028001313261754|0.2970001307715634|0.009676275863740974|0.0062003187016427055|-0.14527387255720164|0.013268656560020988|0.010728053058116182|-0.1939655602039104|-0.01385327694651755|0.0902700639238,-0.6299766746448084|-0.0722262273763936|-0.40451557150997364|-0.182751544280493|-0.03337338511168426|0.2163287556167267|-0.03381926936890002|0.09645951934488164|-0.3291843086777016|0.10374047796891278|0.3044580111222396|-0.0010050291917347654|-0.004492474457485988|-0.14451691531939106|-0.011788779988917215|0.006328497642649712|-0.18494407773739877|-0.0029815345191847803|0.09180877581216527,-0.6270572724865913|-0.07011824226729689|-0.4019379594984827|-0.17775264122400292|-0.043715267844815865|0.2227344118248347|-0.0443989593204433|0.09186829015558587|-0.32229536462612934|0.10861209168163702|0.2980318938512267|-0.0004929724545153558|-0.005126710329915834|-0.1436150604579984|0.0052627187874141786|0.009164161941223622|-0.19425991440906648|-0.020439286417599956|0.09170145666554472,-0.63523230612657|-0.07577060855499117|-0.3938780227123857|-0.18207014350468959|-0.03786953490734714|0.23042648903813154|-0.03817250180438709|0.08704505342805467|-0.3290471637891556|0.09793301235445809|0.2895980205507628|0.011540529357584449|0.01812703250184597|-0.14849953784873204|0.019236553393917197|0.014243700297402458|-0.1987667679230063|-0.021139969108616048|0.08529106940051803,-0.6466806638713278|-0.0620324549198558|-0.3918551997083433|-0.17015932595514596|-0.03618091236315649|0.23947973435105982|-0.03657556837283266|0.09391715464956794|-0.3258402298505444|0.09083447052546229|0.2959125975620247|0.02866257574362957|0.016293427092126674|-0.14446397660268512|0.04036413404766979|0.013175852351188932|-0.19789148074617005|-0.010852317740669413|0.09227895381697197
2500,1,0.01,4,0.01,800,1,0,0,0.4982278764541298,0.4981235224685739,0.228614408846967,0.2287318624527927,0.010150050968995404,0.010150050968995404,0.5083779274231252,0.5082735734375694,-0.6685871637192496|-0.07005714979130567|-0.415593925977582|-0.19417898562092306|-0.038146296590803014|0.25502882111663583|-0.03865635013263516|0.10448389064765898|-0.333184018478637|0.1068438636047812|0.31235988520479585|0.006923324935126296|0.006923549568277515|-0.14009806584173903|0.022841487164619576|0.00797736869914557|-0.19545822923184292|-0.007845995278368299|0.09757358502921604,-0.6759572698809954|-0.06814285525300845|-0.40474392508423535|-0.19632608824579903|-0.04291374977953381|0.2528299521726564|-0.04340586777377652|0.10277243191542296|-0.32630987136479433|0.10736600740085592|0.3110273411138058|0.0028099873051532446|0.008313016603856997|-0.13715468073193454|0.0016908427272354183|-0.00240319945070637|-0.1749263770362478|-0.000656615135837571|0.0991220214635025,-0.6605804410043687|-0.06352755677998922|-0.42087655739986884|-0.18559824602724448|-0.041447104471532444|0.25535785505892217|-0.042130091637948966|0.11041614607246242|-0.3316199665281881|0.11783984309967999|0.3204564069003706|-0.002316687880029921|-0.004641953023017331|-0.13613721250902916|0.015529181143793118|0.003812638549469923|-0.1961387306923613|-0.011961082195549689|0.1052626780329136,-0.6653722892642278|-0.07401685784030074|-0.41812874770528025|-0.19728329266980524|-0.03664271771977827|0.2553616498120929|-0.03703694593519608|0.10177863538849416|-0.33658216442980277|0.1014273779398597|0.30614909643632393|0.007289429405751696|0.012193193774317582|-0.14129796204879647|0.02824324654018361|0.01406834734037412|-0.20417352351252216|-0.012639433142402672|0.09175671582884962,-0.6724386547274067|-0.07454132929192425|-0.41862647372094347|-0.19750831554084342|-0.031581614392367535|0.25656582742287176|-0.032052495183619086|0.10296834921425634|-0.3382240715917627|0.10074222597872919|0.31180669636868297|0.019910570909630162|0.01182994091795281|-0.145802408077196|0.04590267824726616|0.01643168835744461|-0.20659428568624033|-0.006126850639683258|0.09415292479159841
2500,1,0.01,4,0.01,900,1,0,0,0.49535170932829176,0.49520822884085536,0.2277877161598092,0.22775609403516378,0.010580168433394972,0.010580168433394972,0.5059318777616868,0.5057883972742504,-0.7025409313363661|-0.0780927486732668|-0.42412502768281546|-0.21694487104898272|-0.046313836367238466|0.2750961108079061|-0.046881953796586884|0.10990698827619874|-0.3405947410671669|0.1050589820410458|0.32213220087621486|0.00817517894295865|0.010976154471957838|-0.139841010462847|0.02082465041314143|0.010949713117548342|-0.20058537817113972|-0.009559676115106894|0.09256734064411858,-0.7006878448472778|-0.08007995093348547|-0.4173944201110472|-0.22182525772210393|-0.05361442055541805|0.2748084732168949|-0.05415015318339424|0.10700818135926345|-0.34086615097736983|0.10487403305894541|0.32237578482534257|0.0087145699407691|0.007506817288349595|-0.14202081949469902|0.008620215723211236|0.0010360524937034921|-0.1871016369777259|-0.005990612346182804|0.09142013606006762,-0.6978883380043305|-0.0736155818213278|-0.4203649011225659|-0.21176906126432332|-0.05363594064012943|0.2717565669673406|-0.05436966293832402|0.11447060337399292|-0.3339864786818693|0.10884540117154122|0.32572371949258083|-0.0023043123561783223|0.001507267174655703|-0.1351068934372196|0.01572699538554731|0.0042915666557072005|-0.19346331654546955|-0.013380668394226752|0.09935495813095728,-0.7014106886853791|-0.08116943376165885|-0.42621404559856263|-0.22035275908951352|-0.042993271989153634|0.27851201516856117|-0.04342027524169914|0.10279292687855265|-0.3399132834869147|0.1073377425544994|0.31059457416018654|0.011027897827863236|0.0169510491743545|-0.14130180807198572|0.022616992857141405|0.018160130228982257|-0.2131569527430481|-0.015161064493995948|0.08581118818450607,-0.7101768538084771|-0.07750602817659512|-0.43252674389908596|-0.21383240611999013|-0.03501171228425274|0.2753073878788278|-0.035587723822930135|0.11535624149298596|-0.3476130511225136|0.09917875137919721|0.32983472502674943|0.015262560359380591|0.017939484250471552|-0.14093452084748365|0.03633439768666577|0.02031110309180042|-0.2086196064183153|-0.0037063592260220667|0.09368308020094333
2500,1,0.01,4,0.01,1000,1,0,0,0.4930143437958025,0.4929251921586172,0.22724562259445982,0.2269700583654072,0.010948825746639452,0.010948825746639452,0.503963169542442,0.5038740179052567,-0.7373526646204893|-0.08741158279409222|-0.4320128369605836|-0.24019394611155254|-0.041767006570476134|0.28378130315258676|-0.042328369274334476|0.11600177677012068|-0.3425952787224101|0.10370529850967787|0.3299380414095946|0.010940948651792381|0.006508729483589496|-0.1373530886047934|0.021423047975035067|0.011441562564565627|-0.20090630665438086|-0.0019821710917050234|0.0887710497876058,-0.7364045587777129|-0.09249332984413172|-0.4289986893020625|-0.2500870451371906|-0.03642888890324502|0.28130459428303445|-0.03691482022229532|0.1088458981440789|-0.3463314073942707|0.11722295797049845|0.33234422130078234|0.014153749889965773|0.005307889125053664|-0.1479664706477955|0.011901325570949724|0.0063468018790674334|-0.18316928773137525|0.004247542510344299|0.09423206778123855,-0.7323024687409087|-0.08473775010458169|-0.426663772461362|-0.23780041441907468|-0.04486325140185034|0.278844818711644|-0.045574000998271844|0.1154282389388993|-0.3343229354903977|0.11292677324062794|0.32875587267284534|0.002843102306059348|-0.010103033229032634|-0.13571092370820553|0.01606319267401642|0.009483114088923389|-0.19721146329007908|0.0014127957848546263|0.09170060572596635,-0.7362006219759722|-0.08723898124854741|-0.4356944487527316|-0.2389902255761784|-0.043604838910506066|0.28599815628743486|-0.04404427671647079|0.11647740681493507|-0.3438219441716047|0.09692919950026278|0.3247297433534462|0.013185308590494382|0.014447315885361073|-0.13357373809679396|0.023456226447211112|0.013148256688137756|-0.21661085151922946|-0.007638235971364232|0.08196903370860642,-0.7445030089873635|-0.08517626997910813|-0.43669443732617835|-0.23389809931376648|-0.04217104706630312|0.28897764332823367|-0.04278037916029995|0.12325556318256943|-0.3459048278333671|0.08774226332732231|0.3339223283113045|0.013581633820650025|0.016382746152975882|-0.13216122196637858|0.03427144720796301|0.01678807760213393|-0.20663362407683966|-0.005950786690654787|0.08718249193461194
