degree,lambda,mse
0,1e-09,0.4504932835520001
1,1e-09,0.3525141442571566
6,2.06913808111479e-09,0.3165448305964209
5,8.858667904100832e-09,0.31848922907820637
2,1e-09,0.33426800526325484
13,1e-09,0.3389258218398272
12,4.281332398719396e-09,0.2986235760598626
11,1.8329807108324374e-08,0.29951491467692853
6,8.858667904100832e-09,0.31654483620205204
7,2.06913808111479e-09,0.3154634700813753
19,2.06913808111479e-09,0.42900810267872475
18,8.858667904100832e-09,0.3298521167641545
3,1e-09,0.32621765096512295
0,4.281332398719396e-09,0.4504932835519998
4,1e-09,0.32178553504520596
1,4.281332398719396e-09,0.35251415799324937
7,8.858667904100832e-09,0.3154634756924278
12,1.8329807108324374e-08,0.29875102264994025
13,4.281332398719396e-09,0.3360706882360161
14,1e-09,0.3332641862034084
8,2.06913808111479e-09,0.3148635663267524
2,4.281332398719396e-09,0.33426802003550615
5,1e-09,0.31848921722378104
19,8.858667904100832e-09,0.47096498787521696
8,8.858667904100832e-09,0.31486042813518184
3,4.281332398719396e-09,0.32621766058453483
9,2.06913808111479e-09,0.30994977100441323
0,1.8329807108324374e-08,0.4504932835520001
13,1.8329807108324374e-08,0.33913924345801744
14,4.281332398719396e-09,0.3018871022899804
6,1e-09,0.3165448228423543
15,1e-09,0.32508822706479795
1,1.8329807108324374e-08,0.35251416123004903
4,4.281332398719396e-09,0.32178554511069746
9,8.858667904100832e-09,0.30994770311100944
2,1.8329807108324374e-08,0.3342680235164684
10,2.06913808111479e-09,0.30356543073332587
7,1e-09,0.31546346241735046
5,4.281332398719396e-09,0.3184892274537316
14,1.8329807108324374e-08,0.37930783471605806
3,1.8329807108324374e-08,0.32621766285127385
15,4.281332398719396e-09,0.31059269775242904
16,1e-09,0.39480068795509105
10,8.858667904100832e-09,0.3035654262298888
6,4.281332398719396e-09,0.31654483437087544
8,1e-09,0.3148640770152011
4,1.8329807108324374e-08,0.32178554748253313
11,2.06913808111479e-09,0.2995159885505504
15,1.8329807108324374e-08,0.306673665662654
7,4.281332398719396e-09,0.31546347380610595
5,1.8329807108324374e-08,0.3184892298646858
11,8.858667904100832e-09,0.2995141593301492
9,1e-09,0.3099480856083782
16,4.281332398719396e-09,1.0320942168619411
17,1e-09,0.34693325437042694
12,2.06913808111479e-09,0.2985908911671928
6,1.8329807108324374e-08,0.31654483708827835
8,4.281332398719396e-09,0.3148661437036074
10,1e-09,0.3035659102724874
12,8.858667904100832e-09,0.29865399849634133
16,1.8329807108324374e-08,5.8859892288879125
7,1.8329807108324374e-08,0.31546347655663853
13,2.06913808111479e-09,0.3318187691258921
17,4.281332398719396e-09,0.34088935025919254
9,4.281332398719396e-09,0.3099453001349205
18,1e-09,0.31585971026706605
11,1e-09,0.299516969442118
13,8.858667904100832e-09,0.350371496522713
8,1.8329807108324374e-08,0.3148592499528854
10,4.281332398719396e-09,0.3035651136112448
17,1.8329807108324374e-08,0.34100883458772696
14,2.06913808111479e-09,0.3026788666648324
18,4.281332398719396e-09,0.4567843437029019
9,1.8329807108324374e-08,0.3099477286309688
12,1e-09,0.2985623067707042
19,1e-09,7.041414937270534
14,8.858667904100832e-09,0.30575765250795384
0,2.06913808111479e-09,0.4504932835519999
11,4.281332398719396e-09,0.29951332647916873
4,3.792690190732254e-08,0.3217855478567707
1,2.06913808111479e-09,0.35251415349609855
15,2.06913808111479e-09,0.3308928003727179
10,1.8329807108324374e-08,0.3035662236431471
18,1.8329807108324374e-08,0.30973070952497167
2,2.06913808111479e-09,0.3342680151991226
5,3.792690190732254e-08,0.3184892302454522
